report_date,symbol,Open,Close,High,Low,Volume
2010-07-13,SPY,109.15,109.66,110.09,108.93,213025900
2010-07-14,SPY,109.31,109.65,110.08,108.86,184426800
2010-07-15,SPY,109.61,109.68,110.06,108.17,232337900
2010-07-16,SPY,109.09,106.66,109.21,106.45,282693400
2010-07-19,SPY,107.05,107.29,107.63,106.22,186709000
2010-07-20,SPY,105.87,108.48,108.56,105.82,258162400
2010-07-21,SPY,109.04,107.07,109.07,106.63,264527000
2010-07-22,SPY,108.34,109.46,109.94,108.33,274781300
2010-07-23,SPY,109.24,110.41,110.57,108.93,222020800
2010-07-26,SPY,110.6,111.56,111.67,110.29,184445700
2010-07-27,SPY,112.17,111.55,112.29,111.11,204855600
2010-07-28,SPY,111.32,110.83,111.66,110.46,163056200
2010-07-29,SPY,111.52,110.29,111.82,109.41,220149100
2010-07-30,SPY,109.17,110.27,110.86,108.98,220070600
2010-08-02,SPY,111.99,112.76,112.94,111.54,188263200
2010-08-03,SPY,112.48,112.22,112.77,111.85,146657300
2010-08-04,SPY,112.53,112.97,113.11,112.16,158171700
2010-08-05,SPY,112.25,112.85,112.91,112.08,140473800
2010-08-06,SPY,111.74,112.39,112.57,110.92,239728300
2010-08-09,SPY,112.92,112.99,113.18,112.32,120800400
2010-08-10,SPY,112.03,112.38,112.98,111.37,242916300
2010-08-11,SPY,110.65,109.3,110.69,109.12,273406900
2010-08-12,SPY,107.65,108.63,109.02,107.6,239542600
2010-08-13,SPY,108.29,108.31,108.96,108.18,158698500
2010-08-16,SPY,107.57,108.26,108.61,107.18,147895300
2010-08-17,SPY,109.19,109.59,110.39,108.88,172270300
2010-08-18,SPY,109.54,109.79,110.38,108.91,182922100
2010-08-19,SPY,109.22,107.88,109.49,107.43,265847600
2010-08-20,SPY,107.56,107.53,107.94,106.75,209714200
2010-08-23,SPY,108.04,107.12,108.57,107.07,163490300
2010-08-24,SPY,105.95,105.53,106.39,104.97,280677800
2010-08-25,SPY,104.95,105.94,106.34,104.29,272234800
2010-08-26,SPY,106.44,105.23,106.58,104.88,224439500
2010-08-27,SPY,105.89,106.86,106.97,104.31,272649000
2010-08-30,SPY,106.58,105.31,106.91,105.3,167238600
2010-08-31,SPY,104.92,105.31,105.98,104.49,273933100
2010-09-01,SPY,106.73,108.46,108.61,106.66,256828100
2010-09-02,SPY,108.72,109.47,109.49,108.49,156112200
2010-09-03,SPY,110.54,110.89,110.99,109.95,212197300
2010-09-07,SPY,110.37,109.64,110.51,109.55,141973700
2010-09-08,SPY,109.86,110.41,110.85,109.81,149924400
2010-09-09,SPY,111.65,110.92,111.68,110.62,147017900
2010-09-10,SPY,111.12,111.48,111.61,110.87,127819000
2010-09-13,SPY,112.58,112.72,112.95,112.13,178503500
2010-09-14,SPY,112.5,112.65,113.29,112.08,209823600
2010-09-15,SPY,112.32,113.08,113.21,111.98,168608400
2010-09-16,SPY,112.73,113.05,113.12,112.35,199962900
2010-09-17,SPY,113.04,112.49,113.15,112.18,195836900
2010-09-20,SPY,112.88,114.21,114.46,112.52,214555200
2010-09-21,SPY,114.3,113.98,114.84,113.51,268389100
2010-09-22,SPY,113.8,113.42,114.44,113.1,191322400
2010-09-23,SPY,112.49,112.5,113.67,112.18,202354300
2010-09-24,SPY,113.75,114.82,114.9,113.65,209671800
2010-09-27,SPY,114.86,114.27,114.99,114.16,128761800
2010-09-28,SPY,114.42,114.67,115.04,113.18,209207500
2010-09-29,SPY,114.38,114.47,114.91,114.02,179665800
2010-09-30,SPY,115.05,114.13,115.79,113.59,287106700
2010-10-01,SPY,114.99,114.61,115.12,113.93,174638700
2010-10-04,SPY,114.37,113.75,114.85,113.18,166153200
2010-10-05,SPY,114.8,116.04,116.32,114.67,229634100
2010-10-06,SPY,116.02,116.03,116.33,115.56,148626600
2010-10-07,SPY,116.5,115.89,116.53,115.19,164860000
2010-10-08,SPY,116.05,116.54,116.86,115.61,177760100
2010-10-11,SPY,116.72,116.65,116.97,116.25,103098300
2010-10-12,SPY,116.27,117.01,117.35,115.65,182210000
2010-10-13,SPY,117.66,117.92,118.55,117.38,194347200
